Code,Last,Change,Change(%),GridFluctRatio,Freq,Volume,Value,Frg Buy,Frg Sell,Net Buy
AGAR,218,Fall,2,0.9,14,42,914,"2,547","1,768",779
DEPO,234,Fall,10,4.09,28,370,"8,706","1,091",318,773
ADMG,202,Rise,3,1.5,9,118,"2,363","4,262","3,502",760
SPRE,80,Rise,1,1.26,146,"6,441","52,133",757,0,757
BNBA,765,Fall,25,3.16,63,"1,362","107,971","14,828","14,076",752
PJAA,470,Rise,8,1.73,14,52,"2,351","1,150",556,594
JAST,85,Rise,1,1.19,"3,015","154,356","1,352,019","6,494","5,917",577
INOV,119,Fall,1,0.83,72,"5,747","68,382","36,373","35,809",564
UDNG,"1,525",Lower limit,165,9.76,791,"16,182","2,547,327","42,847","42,328",519
GGRP,296,Unchnaged,0,0,19,569,"16,871","2,207","1,698",509
PPRO,19,Upper limit,1,5.55,230,"178,048","338,291",500,0,500
KMDS,520,Fall,15,2.8,10,183,"9,741","1,482","1,016",466
TAMA,162,Fall,1,0.61,260,"13,019","214,416","9,117","8,665",452
VICO,141,Rise,1,0.71,4,8,113,536,111,425
ESTA,183,Fall,1,0.54,54,984,"17,487","4,738","4,338",400
SMMA,"20,075",Fall,"1,825",8.33,38,47,"96,722",510,116,394
PDPP,256,Fall,6,2.29,36,838,"21,625","3,171","2,812",359
XIHD,584,Fall,1,0.17,5,68,"3,972",350,0,350
MERK,"3,650",Rise,100,2.81,10,23,"8,366",834,492,342
PTSP,860,Fall,35,3.91,7,44,"3,839",403,81,322
BPII,456,,0,0,0,0,0,475,154,321
PPGL,182,Fall,8,4.21,178,"6,332","114,400",438,129,309
MINE,214,Fall,2,0.92,92,"2,138","45,253","13,431","13,156",275
ATLA,50,Unchnaged,0,0,38,"20,306","101,530",641,387,254
FAPA,"7,375",Unchnaged,0,0,3,39,"28,762",280,36,244
HBAT,378,Unchnaged,0,0,650,"26,850","973,898","5,533","5,332",201
MBTO,108,Unchnaged,0,0,190,"8,089","88,405",200,0,200
SBMA,103,Fall,5,4.62,52,"4,482","46,601",550,361,189
TCID,"2,780",Fall,20,0.71,6,18,"5,036",253,76,177
AKPI,480,Fall,2,0.41,12,17,822,520,371,149
SAPX,230,Fall,2,0.86,26,200,"4,466",660,511,149
INCI,650,Fall,5,0.76,11,16,"1,046",130,0,130
TRST,466,Fall,10,2.1,6,27,"1,257",389,262,127
BINA,"3,150",Unchnaged,0,0,78,303,"95,209",686,574,112
KBLM,288,Unchnaged,0,0,9,175,"5,121",291,185,106
GLVA,328,Rise,6,1.86,25,271,"8,736",258,158,100
UFOE,136,Fall,2,1.44,18,172,"2,348","2,922","2,827",95
BAUT,27,Fall,1,3.57,38,"3,190","8,613",70,0,70
LFLO,565,Rise,5,0.89,71,"2,224","135,160",113,49,64
SIPD,690,Fall,5,0.71,7,22,"1,510",131,69,62
IKPM,183,Fall,2,1.08,3,7,128,414,362,52
ARKA,21,Lower limit,2,8.69,118,"17,737","38,622",50,0,50
TALF,695,Rise,40,6.1,400,"3,934","278,786",619,574,45
CBDK,"3,550",Fall,40,1.11,310,"4,550","1,635,025","112,682","112,641",41
RELI,496,,0,0,0,0,0,66,32,34
SHIP,"1,680",Rise,150,9.8,18,195,"32,760",40,6,34
GTBO,176,Fall,3,1.67,42,671,"11,709","2,094","2,064",30
ISAP-W,15,Unchnaged,0,0,69,"9,671","14,319",24,0,24
SFAN,"1,980",Unchnaged,0,0,14,269,"53,216",247,226,21
KONI,"2,780",Rise,60,2.2,45,91,"25,654",665,645,20
PANS,"1,840",Fall,10,0.54,237,"5,288","976,177","3,274","3,257",17
AMAG,398,Rise,2,0.5,8,17,661,482,467,15
XCLQ,67,Rise,1,1.51,26,125,870,24,10,14
TRUS,282,Fall,10,3.42,42,595,"17,494",366,352,14
PNGO,"3,440",Rise,20,0.58,2,2,693,116,102,14
DNET,"10,075",Fall,200,1.94,2,3,"3,042",61,48,13
UNIC,"12,425",Fall,250,1.97,9,12,"14,967",166,155,11
XSSI,62,Unchnaged,0,0,6,42,260,10,0,10
